record_id,exclusion_reason,year,authors,title,doi,url,abstract,ai_rationale
RF5EE1B107ED4,E01,1983,Anonymous,The Future of Industrial Relations: A Conference Report,https://doi.org/10.1111/j.1468-232X.1983.tb00259.x,https://www.proquest.com/docview/222475798?accountid=13598&bdid=165489&_bd=Phwg%2FM7O0vaiFs0e1UNGODeggG0%3D,"In this review, the major issues examined at a recent conference sponsored by the Institute of Industrial Relations are discussed.  The purpose of the conference, involving 27 industrial relations scholars and practitioners, was to assess current trends in research and policy in the face of rapid changes in the US industrial relations system, including declining union power and membership.  The failure of unions to meet the needs of young workers, to adjust to changing economic and political realities, and to adapt to a flexible organizational structure were examined, and 3 scenarios for the future of organized labor were evaluated.  In the first scenario, union strength and influence would continue to decline, while in the second, union strength would be maintained and bargaining would become more cooperative.  In the third scenario, unions would retain their present power and adapt to changing social, economic, and political conditions.  It was finally determined that resolution of current economic and social problems requires the mutual cooperation of government, unions, and management.",Conference report on the future of US industrial relations; unrelated to water/sanitation.
R2024F794159F,E01,1977,"Weinstein, Deena",Bureaucratic Opposition: The Challenge to Authoritarian Abuses at the Workplace,,https://www.proquest.com/docview/60865299?accountid=13598&bdid=165489&_bd=gB3DHtrwbtB%2BT31RCVJQjO5SDt0%3D,"Contemporary organization theories, particularly those with a functionalist bias, have generally ignored the phenomenon of resistance to authority within bureaucracies. The assumptions of organization theory, especially those of rational self-interest & adaptation to a priori normative premises, & the hierarchical model of authority, are not adequate to describe &/or explain bureaucratic oppositions, or attempts at structural, policy, &/or personal changes initiated within organizations by those without authority. A framework for dealing with bureaucratic oppositions theoretically & empirically is provided by the study of political opposition (eg, revolution & rebellion). The similarities between a bureaucracy & an authoritarian state are such that the work done on struggles for change in the latter enlightens the dynamics of resistance & opposition in the former. AA.","Sociology/public-administration study on ""Bureaucratic Opposition: The Challenge to Authoritarian Abuses at the Workplace""; no water or sanitation service access, connection, affordability, or reliability outcome is examined."
R38BDDCCEAC98,E01,2006,"Lopes da Silva, Norma Felicidade; Costa Goncalves, Juliano Costa",From trust to fatality: dam collapse as a limit of the modernization paradigm?,,https://www.proquest.com/docview/60389720?accountid=13598&bdid=165489&_bd=1PMT0srq0PSv34d3Tzrf%2FUrW8f4%3D,"Dams could be considered contemporary forms of locality's domination to modernization's paradigm. Dams have been supported by a political discourse and by an expert competence that cannot be contest, with benefits and risks did not understand or wish for local population. This paper focuses the process of technical's intervention and their mistaken in the social space. Adapted from the source document.","Essay on dam collapse as a limit of the modernization paradigm; dam safety/political discourse, not household water/sanitation service access."
R127224253373,E01,1998,,Central Washington Healthcare Providers Go Online With Pointshare And Five K Computers,,https://www.proquest.com/docview/447227307?accountid=13598&bdid=165485&_bd=sDzTghnwh4ERXGteFhIxte5MRO0%3D,"YAKIMA, Wash., Oct. 13 /PRNewswire/ -- With the help of Pointshare and locally-based Five K Computers, Yakima's hospitals, medical clinics, and health insurers are going online with the newly created Central Washington Health Information Network.The network is a secure wide area intranet connecting healthcare providers across Central Washington for the purpose of improving access to business and clinical information. The network is expected to result in both improved care and lower costs across the community by reducing or eliminating many time-consuming and labor-intensive processes that contribute to the rising cost of healthcare.Network users will have access to online services such as patient eligibility and pre-authorization, referral management between primary care physicians, specialists and insurance companies, secure e-mail, and electronic delivery of lab results, x-ray results, hospital admission notifications and discharge summaries. Network users will also receive a secure connection to the public Internet.",Press release on a regional healthcare information network launch; unrelated to water or sanitation.
R8B0D8B7B87D3,E01,2016,,Refuse and waste related services. [Tender documents : T33045354],,https://www.proquest.com/docview/1780370357?accountid=13598&bdid=165485&_bd=ozvyPpv8OzmsfWWrgiZOg%2BSFW6g%3D,"Total quantity or scope: To procure the provision of disposal services for confidential, wash room, hazardous and clinical waste for Corporate buildings/sites and the possibility of other areas of service not currently included. Provide access to ASDV~s, ensuring the safety and security of CEC staff, the Public, buildings and their contents. To determine the most economically beneficial and operationally viable route of procurement by incorporating all service areas and site, ASDV~s and resulting in one Corporate Contract or solution.",Procurement tender for corporate waste disposal services; unrelated to household water/sanitation access.
R354604C95E71,E01,1978,"Pool, J J",Bureaucracy in the Hospital: An Empirical Test of Hall's Theory in One Organizational Type,,https://www.proquest.com/docview/60672879?accountid=13598&bdid=165489&_bd=mH5cif8IkGNaMznHYlBjyerCqH4%3D,"In a study of 6 general hospitals in the Netherlands, R. Hall's dimensional model of bureaucracy was tested for its applicability within one type of organization. A pilot study with a group of 99 staff nurses generated a reliable version of the original questionnaire, translated & adapted to hospital organization. Individual analysis showed that the dimensional model was only partly represented by the facts & the 6 dimensions were not found to be independent. In the main study, only 5 dimensions, corresponding to 32 items, were kept. Nurses (number of cases = 442) representing 31 departments in 6 hospitals were interviewed. Of the respondents, 50 to 60% were students. Data were analyzed at the group level. Results show that the dimensions of hierarchy of authority, interpersonality, & rules/procedures are reliably measurable. Again, independence was not found. It is suggested that within this type of organization, bureaucracy might better be handled as a unit concept. The scale is judged valid to an acceptable degree. Before firm conclusions about the applicability of the dimensional model can be drawn, further research within other homogeneous groups of organizations will be needed. 7 Tables. Modified HA.","Public administration/sociology/policy study titled ""Bureaucracy in the Hospital: An Empirical Test of Hall's Theory in One Organizational Type""; no examination of water or sanitation service access."
R3F59505DEBEC,E05,2003,Browne N.; Oenga I.O.; Chikombe P.S.; Ahmad T.; Razza H.; Castano R.G.; Skinner K.; Harris K.,Development of Information Focal Points (IFPs) on Community Water Supply in Rural Areas: An Initiative to Disseminate Research Results,10.1080/02508060308691688,https://www.scopus.com/pages/publications/0038164688?origin=resultslist,"At the end of 1998 a training workshop was organized by the IRC International Water and Sanitation Centre in The Hague, The Netherlands, with the aim of establishing Information Focal Points (IFPs) within a number of organizations. The partner organizations were NETWAS International in Nairobi, Kenya, WASEP in Gilgit, Northern Areas of Pakistan, CINARA in Cali, Colombia, and the Mvula Trust in Johannesburg, South Africa. The IFP initiative was a sub-project of a much larger project, called the Manage Dissemination Project that aimed to disseminate the results of an earlier four-year participatory action research project undertaken by IRC on community management of rural water supplies. Unlike many other water information initiatives, which often have the catchment as their point of departure, IFPs had the ambitious goal of wanting to access and document water information at a much lower level, namely that of the community. Inherent to this approach was that community-based water information would become institutionalized in the partner organizations, so that even after the research project came to an end, the IFPs would be able to continue their work. This article describes the objectives and outcomes of the above workshop and provides thumbnail sketches of the partner organizations involved in the sub-project. It also discusses the plans that partner organizations developed for implementing IFPs within their own organizations. The challenges that may confront both the partner organizations themselves, and IRC in its role as a supportive institution, are also discussed. The article ends by trying to look ahead on how the IFP initiative may evolve in the future. © 2003 Taylor & Francis Group, LLC.","Describes establishment of information-dissemination focal points for rural water supply research; a program/knowledge-management report, not empirical access evidence."
R345C3A5BBD91,E01,2013,"Wicker, Pamela; Breuer, Christoph",Understanding the Importance of Organizational Resources to Explain Organizational Problems: Evidence from Nonprofit Sport Clubs in Germany,https://doi.org/10.1007/s11266-012-9272-2,https://www.proquest.com/docview/1322531715?accountid=13598&bdid=165489&_bd=%2Fkiw%2BDP6nAkWBQv%2F%2FsrcTAoiVs0%3D,"Nonprofit sport clubs experience organizational problems regarding the recruitment and retention of members, volunteers, and coaches, and the financial situation of the club. The purpose of this study is to investigate the impact of different types of organizational resources on the severity of organizational problems. A theoretical framework based on the concept of organizational capacity is presented, which explains the influence of human, financial, infrastructure, and cultural resources on organizational problems. The empirical evaluation is undertaken using data from a nationwide online survey of nonprofit sport clubs in Germany (n = 19,345). The regression results show that human resources (women on the board, secondary volunteers, etc.), financial resources (Herfindahl index), infrastructure resources (own facilities, and public facilities), and cultural resources (e.g., strategic policy, formation policy, value of conviviality, and variety of sports) are significant determinants of organizational problems. The findings of this study have implications for the management of voluntary sport organizations.[PUBLICATION ABSTRACT]",Organizational resources and problems in German nonprofit sport clubs; unrelated.
R79B253434CA7,E01,2010,"Tosoni, Magdalena",Niklas Luhmann and Pierre Bourdieu: Theoretical Keys for Interpreting Political Clientage in Argentina,,https://www.proquest.com/docview/754043205?accountid=13598&bdid=165489&_bd=kdapGK9CqfZ%2BXevvojlGFFfnPx8%3D,"In order to interpret clientage in Argentina, the author relies on the conceptualizations of the processes of differentiation & autonomization of modern society, & both on Lubmann's concept of system & Bourdieu's concept of field. An excessive emphasis on actors -- campaigning & leading politicians, clienteles, officials -- needs to be balanced by a relational perspective showing the social conditions of the phenomenon. First, the author presents the ways clientage is addressed in Argentina, how it is conceptualized, & argues for the need to expand the outlook further onto other processes. Then, an elaboration of Luhmann's & Bourdieu's concepts relating to the construction of autonomy & differentiation of social areas or realms is carried out. Further, an interpretation & development of research lines into the relationship between the State bureaucracy, political parties, & clientage networks is presented. Finally, the contributions of both authors are summarized & the usefulness & affinity of their theories discussed. Adapted from the source document.",Theoretical essay on political clientage in Argentina.
REAF43B498668,E01,2013,"Cawood, Ian; Upton, Chris","""Divine Providence"": Birmingham and the Cholera Pandemic of 1832",,https://www.proquest.com/docview/1442569356?accountid=13598&bdid=165489&_bd=3EwBlVQ3w2lEqqIjKionlcQK8BM%3D,"As Erin O'Connor recently noted, ""Asiatic cholera exposed the frailties of England's urban industrial structure,"" and it provided the most serious test of the old Poor Law system in Birmingham. This paper intends to explore the response of the medical, political, and religious authorities of Birmingham to the outbreak of cholera in 1832 as well as the popular reaction to this response. It also seeks to explain why, in Asa Briggs' words, ""Birmingham was almost untouched . . . in the cholera outbreak of 1832 (when there were only twenty-one deaths)"" by analyzing the geography, social and political structures of the town, and the medical and moral pathology of the disease. By using the minutes of the Birmingham overseers and guardians of the poor, together with contemporary newspaper reports, the paper seeks to uncover the dramatic and entirely unexpected course of events in Birmingham. It offers an analysis of the city's response to the disease that challenges interpretations of the unreformed Poor Law as passive and unsympathetic and the unincorporated local authorities as chaotic and corrupt. The episode also sheds light on competing cultural attitudes toward death and disease among the communities that made up early nineteenth-century Birmingham. The only areas where the authorities' actions were significantly interfered with were those where the poorest (including the Irish) lived. Here, swift removal of corpses clashed with traditional funeral practices and the widespread fear of ""burking"" by anatomists provoked serious disturbances. The paper concludes that Birmingham was spared the pandemic by the happy combination of location (far from the sea in the pre-railway age), infrastructure (with deep artesian wells supplying most drinking water, in contrast to the reliance on streams and rivers elsewhere in Britain) and the uniquely well-organized response to the epidemic by the overseers and guardians of the poor, the town's medical practitioners, and the Board of Health, chaired by Samuel Galton. The paper concludes that it was to the country's detriment that the city's effective response to the disease was largely overlooked at the time and that it took until 1854 when Jon Snow was able to compare those drinking contaminated and uncontaminated water and draw the conclusions that led to the provision of an effective response to the problem of cholera in the cities of Britain. [PUBLICATION ABSTRACT]","Historical study of Birmingham's Poor Law-era response to the 1832 cholera outbreak; poor-law/epidemic administration, not water/sanitation service access."
