"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Yao Y.; Zhou J.; Jia C.; Su P.; Song Y.","Yao, Yanzhong (57545156500); Zhou, Junru (60362599900); Jia, Changgeng (58236669100); Su, Pinjie (57383594000); Song, Youtao (7404920149)","57545156500; 60362599900; 58236669100; 57383594000; 7404920149","Delineating spatiotemporal variations of coastal ecosystem service value from the ‘past-current-future’ perspective","2026","Anthropocene Coasts","9","1","7","","","0","10.1007/s44218-026-00124-1","https://www.scopus.com/pages/publications/105028956632?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028956632"
"Asfaw T.D.; Dejen Z.A.; Mekonen S.; Kassegn M.; Melaku A.; Gezahegn K.; Abera Z.","Asfaw, Tilahun Derib (59221697700); Dejen, Zeleke Agide (56646464400); Mekonen, Seblework (55504168700); Kassegn, Mamo (60334893500); Melaku, Abayneh (57428459500); Gezahegn, Kiya (60334035100); Abera, Zelalem (56685770700)","59221697700; 56646464400; 55504168700; 60334893500; 57428459500; 60334035100; 56685770700","Water Utilities Capacity and Governance: Insights into Sustainable Service Improvement","2026","Water Conservation Science and Engineering","11","1","12","","","1","10.1007/s41101-025-00462-0","https://www.scopus.com/pages/publications/105027523038?origin=resultslist","Article","Final","","Scopus","2-s2.0-105027523038"
"Tappeh M.M.B.; Vahedi A.","Tappeh, Mohammad Mirzaie Banafsh (57208672337); Vahedi, Abolfazl (8724148400)","57208672337; 8724148400","Development of an Efficient Corona Discharge Generator Based on Resonant for Water Disinfection Applications","2026","AIP Conference Proceedings","3421","1","030023","","","0","10.1063/5.0339282","https://www.scopus.com/pages/publications/105042998046?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105042998046"
"Sathiskumar S.; Priyanka E.B.; Thangavel S.; Anand A.J.; Bhuvarasudhan T.; Aakash A.","Sathiskumar, S. (58506515000); Priyanka, E.B. (60522775000); Thangavel, S. (56275957300); Anand, A. Jose (57202414907); Bhuvarasudhan, T. (60640287200); Aakash, A. (60640287300)","58506515000; 60522775000; 56275957300; 57202414907; 60640287200; 60640287300","Decentralized Blockchain-Enabled Smart Contracts for Transparent Water Distribution and Sanitation Service Auditing in Rural Communities","2026","Smart Technologies for Sustainable Development Goals: Clean Water and Sanitation","","","","118","133","0","10.1201/9781003714774-8","https://www.scopus.com/pages/publications/105039405587?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105039405587"
"Tabassum S.; Rahman M.M.","Tabassum, Sumaya (58953230800); Rahman, Md. Mushfiqur (60709167900)","58953230800; 60709167900","Circular economy and nature-based solutions for WASH resilience in Bangladesh’s Hill tracts","2026","Discover Sustainability","7","1","1260","","","0","10.1007/s43621-026-03656-1","https://www.scopus.com/pages/publications/105047049116?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105047049116"
"Anwar N.; Shahzadi K.; Raja M.A.Z.; Ahmad I.; Shoaib M.; Kiani A.K.","Anwar, Nabeela (57189843355); Shahzadi, Kiran (59389983100); Raja, Muhammad Asif Zahoor (36739939800); Ahmad, Iftikhar (55809924800); Shoaib, Muhammad (57213458638); Kiani, Adiqa Kausar (26531252800)","57189843355; 59389983100; 36739939800; 55809924800; 57213458638; 26531252800","Machine intelligent expedition with supervised Bayesian adaptive neural networks for stochastic cholera epidemic model in a periodic environment","2026","Nonlinear Dynamics","114","2","141","","","8","10.1007/s11071-025-12006-1","https://www.scopus.com/pages/publications/105028294820?origin=resultslist","Article","Final","","Scopus","2-s2.0-105028294820"
"Gowtham H.; Gopal J.N.; Swapna S.; Raveendran L.S.; Krishnan S.; Anand A.J.","Gowtham, H. (59398030800); Gopal, J. Nandha (59180104100); Swapna, S. (57196298733); Raveendran, Lekshmi S. (58565639400); Krishnan, Saravanan (60570182000); Anand, A. Jose (57202414907)","59398030800; 59180104100; 57196298733; 58565639400; 60570182000; 57202414907","The Thirst for Governance: Challenges in Water and Sanitation Reforms","2026","Smart Technologies for Sustainable Development Goals: Clean Water and Sanitation","","","","17","35","1","10.1201/9781003714774-2","https://www.scopus.com/pages/publications/105039405342?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105039405342"
"Sidlakone S.; Ichiki A.","Sidlakone, Sengsavath (60726241600); Ichiki, Atsushi (7003420026)","60726241600; 7003420026","Fecal sludge management system approach for establishing policy framework in urban areas of Vientiane Capital, Lao PDR","2026","Journal of Water Sanitation and Hygiene for Development","16","6","","497","514","0","10.2166/washdev.2026.251","https://www.scopus.com/pages/publications/105043937417?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105043937417"
"Zhang Q.; Gao C.; Ge X.; Sun Y.; Liu P.; Zhang X.-X.","Zhang, Qifeng (57216187157); Gao, Chuanzuo (60508698200); Ge, Xinyue (60508698300); Sun, Yuchen (59388229000); Liu, Peng (57199213290); Zhang, Xu-Xiang (8555121100)","57216187157; 60508698200; 60508698300; 59388229000; 57199213290; 8555121100","Tracking viral variants by wastewater surveillance, from laboratory diagnosis towards on-site monitoring: lessons learned from the SARS-CoV-2 pandemic","2026","Journal of Environmental Management","404","","129353","","","2","10.1016/j.jenvman.2026.129353","https://www.scopus.com/pages/publications/105032922469?origin=resultslist","Review","Final","","Scopus","2-s2.0-105032922469"
"Saifudin T.; Lu'Lu'A N.; Putra M.R.A.; Wardhani V.N.P.; Galena M.V.; Yuniar M.A.D.P.","Saifudin, Toha (55639625400); Lu'Lu'A, Na'Imatul (60544623000); Putra, Mochamad Rasyid Aditya (60544623100); Wardhani, Vrisca Natalia Putri (60543831300); Galena, Marcelena Vicky (60544423400); Yuniar, Muhammad Alvito Dzaky Putra (60543438100)","55639625400; 60544623000; 60544623100; 60543831300; 60544423400; 60543438100","Application of Co-Kriging method to estimate water hardness with secondary variable PH in West Surabaya","2026","AIP Conference Proceedings","3326","1","080014","","","0","10.1063/5.0308887","https://www.scopus.com/pages/publications/105034281302?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105034281302"
"Fobi Kontor M.; Núñez Collado J.R.; Brown A.","Fobi Kontor, Maxwell (59964429100); Núñez Collado, José Rafael (57211349485); Brown, André (55147021900)","59964429100; 57211349485; 55147021900","Bridging the Gap in Urban Water Accessibility: Exploring the Barriers to Equity in Water Access in Ghana","2026","Sustainable Development Goals Series","Part F2020","","","51","70","0","10.1007/978-3-032-20649-7_4","https://www.scopus.com/pages/publications/105040166221?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105040166221"
"Lv J.; Zhang Y.; Wang Y.; Wang Z.; Sun D.; Ma H.; Zhang X.","Lv, Jiaojiao (59655692100); Zhang, Yu (57226371195); Wang, Yifan (60649709000); Wang, Zhihui (60650666500); Sun, Dongyong (44261801900); Ma, Huan (58735548200); Zhang, Xuedi (44261713900)","59655692100; 57226371195; 60649709000; 60650666500; 44261801900; 58735548200; 44261713900","Watershed Water Supply Security Reliability Assessment and Risk Node Identification in Mountain Piedmont Transition Zones Under Extreme Drought Stress: A Case Study from the Feng River Basin","2026","Water (Switzerland)","18","10","1121","","","0","10.3390/w18101121","https://www.scopus.com/pages/publications/105040066616?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105040066616"
"Singh S.R.; Blanco-Arévalo A.; Gupta A.; Chee J.Y.; Aligui A.A.A.F.; Hor S.W.; Shou Y.; Saravanan R.; Leong J.; Charani E.; Mo Y.","Singh, Shweta R. (57195055756); Blanco-Arévalo, Alejandro (57226504582); Gupta, Atharvi (60200064100); Chee, Jia Yi (59383448800); Aligui, Alec Ann Alissa F. (58723413100); Hor, Stanton Winter (60216831000); Shou, Yiyun (57217845994); Saravanan, Rathi (57196616740); Leong, James (55754713000); Charani, Esmita (57208140595); Mo, Yin (57191850214)","57195055756; 57226504582; 60200064100; 59383448800; 58723413100; 60216831000; 57217845994; 57196616740; 55754713000; 57208140595; 57191850214","Barriers to accessing newer antibiotics in countries with high burden of bacterial antimicrobial resistant infections—a qualitative study","2026","The Lancet Regional Health - Western Pacific","72","","101917","","","0","10.1016/j.lanwpc.2026.101917","https://www.scopus.com/pages/publications/105044721021?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105044721021"
"Breen M.; Marks D.","Breen, Michael (55259628800); Marks, Danny (56927689600)","55259628800; 56927689600","Corruption and SDG 6: Clean Water and Sanitation for All","2026","Corruption and the Sustainable Development Goals","","","","85","99","0","10.4324/9781003570912-7","https://www.scopus.com/pages/publications/105039408625?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105039408625"
"Johnson R.; Shank S.E.; Aaltonen P.M.; Blatchley E.R., III; Payne L.; Simpson V.; Bhadelia A.","Johnson, Rebecca (60681142600); Shank, Sophie E (58981392400); Aaltonen, Pamela M (7003820464); Blatchley, Ernest R (7004623927); Payne, Lindsey (55337010800); Simpson, Vicki (36657739800); Bhadelia, Afsan (8295773300)","60681142600; 58981392400; 7003820464; 7004623927; 55337010800; 36657739800; 8295773300","Barriers and facilitators to the utilisation of point-of-use water treatment systems during and immediately following flood-related disasters: a scoping review protocol","2026","BMJ Open ","16","6","e115870","","","0","10.1136/bmjopen-2025-115870","https://www.scopus.com/pages/publications/105041173500?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105041173500"
"Sow M.M.; Delpy L.; Ciss M.; Fall A.G.; Diouf N.D.; Caffin J.-H.; Dia N.M.; Bordier M.","Sow, Mouhamadou Moustapha (26323419700); Delpy, Léo (57222630423); Ciss, Mamadou (55534143500); Fall, Assane Gueye (55395928300); Diouf, Nicolas Djighnoum (57204338618); Caffin, Jean-Hugues (57483818800); Dia, Ndeye Mery (6602244552); Bordier, Marion (56002508200)","26323419700; 57222630423; 55534143500; 55395928300; 57204338618; 57483818800; 6602244552; 56002508200","Governing antibiotic resistance through One Health: Insights from the political and legal landscape in Senegal","2026","PLOS Global Public Health","6","3","e0005889","","","1","10.1371/journal.pgph.0005889","https://www.scopus.com/pages/publications/105032881704?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105032881704"
"Kokanutaporn S.; Rachuratchata L.; Aung E.D.; Sasaki N.","Kokanutaporn, Sineenuch (60685795900); Rachuratchata, Laddawan (60685532300); Aung, Eain Dray (60008243800); Sasaki, Nophea (15127920200)","60685795900; 60685532300; 60008243800; 15127920200","Industrial Symbiosis as a Carbon-Centered Operational Strategy: Evidence from Thailand’s Eastern Economic Corridor","2026","Sustainability (Switzerland)","18","11","5547","","","0","10.3390/su18115547","https://www.scopus.com/pages/publications/105041435899?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105041435899"
"Guo Y.; Wei A.; Shi H.; Wang Z.; Yue S.; Chang X.; Tang K.; Zou J.; Li N.","Guo, Yangyang (59938028500); Wei, Anlei (7102889818); Shi, Hanxiao (58821274800); Wang, Zixuan (59305745700); Yue, Shengbo (59936949300); Chang, Xiaofan (59937846400); Tang, Kangrong (59142217900); Zou, Jirui (59141632100); Li, Nan (57223946314)","59938028500; 7102889818; 58821274800; 59305745700; 59936949300; 59937846400; 59142217900; 59141632100; 57223946314","Ensemble LSTM models for short-term early warning of nitrous oxide emissions: A case study of a full-scale wastewater treatment plant in Copenhagen","2026","Journal of Water Process Engineering","87","","110153","","","2","10.1016/j.jwpe.2026.110153","https://www.scopus.com/pages/publications/105037029117?origin=resultslist","Article","Final","","Scopus","2-s2.0-105037029117"
"Yan S.; Irvine A.; Akunwafo C.U.; Pickering T.A.; Feldman C.T.; Kogan A.C.","Yan, Sean (60735266300); Irvine, Audrey (60734768900); Akunwafo, Clarice U. (60734769000); Pickering, Trevor A. (24332597700); Feldman, Corinne T. (57217252854); Kogan, Alexis Coulourides (60735266400)","60735266300; 60734768900; 60734769000; 24332597700; 57217252854; 60735266400","Changes in access to basic needs among people experiencing unsheltered homelessness in Los Angeles County during and after the COVID-19 pandemic: a large-scale repeated cross-sectional survey","2026","BMC Public Health","26","1","2121","","","0","10.1186/s12889-026-27652-2","https://www.scopus.com/pages/publications/105044460449?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105044460449"
"Si Y.; Li Q.; Khan F.; Hernández D.","Si, Yutong (57218366246); Li, Qian (60407715800); Khan, Farzana (59285869000); Hernández, Diana (55250330300)","57218366246; 60407715800; 59285869000; 55250330300","The felt experience of energy insecurity: Revealing an affective continuum based on sentiment analysis among New York City residents","2026","Energy Research and Social Science","139","","104844","","","0","10.1016/j.erss.2026.104844","https://www.scopus.com/pages/publications/105045294788?origin=resultslist","Article","Final","","Scopus","2-s2.0-105045294788"
"Salazar-Gámez L.; Ojeda-Ocaña R.; Rosero-Lombana P.; Calpa-Villarreal J.; Chañag-Checa S.; Insuasty-Enríquez J.; Cerón-Rosales A.; Garzón T.","Salazar-Gámez, L. (56815165400); Ojeda-Ocaña, R. (60540364300); Rosero-Lombana, P. (60540643800); Calpa-Villarreal, J. (60540781100); Chañag-Checa, S. (60540781200); Insuasty-Enríquez, J. (60540504600); Cerón-Rosales, A. (60540643900); Garzón, T. (60541193700)","56815165400; 60540364300; 60540643800; 60540781100; 60540781200; 60540504600; 60540643900; 60541193700","Leveraging Artificial Intelligence for Comprehensive Analysis of Community and Rural Aqueduct Systems","2026","Civil Engineering Journal (Iran)","12","3","","882","905","0","10.28991/CEJ-2026-012-03-03","https://www.scopus.com/pages/publications/105034086530?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105034086530"
"Hunt H.; Indraratna B.; Malisetty R.S.; Qi Y.; Rujikiatkamjorn C.","Hunt, Haydn (57782262800); Indraratna, Buddhima (7005875329); Malisetty, Rakesh Sai (57216130821); Qi, Yujie (59874622600); Rujikiatkamjorn, Cholachat (9241717900)","57782262800; 7005875329; 57216130821; 59874622600; 9241717900","Predicting the shear strength of rubber-incorporated granular waste mixtures with a machine learning approach","2026","Acta Geotechnica","21","4","","2405","2426","0","10.1007/s11440-025-02890-7","https://www.scopus.com/pages/publications/105025906785?origin=resultslist","Article","Final","","Scopus","2-s2.0-105025906785"
"Fajarwati B.; Fahmid I.M.; Ali M.S.S.","Fajarwati, Betty (59151900500); Fahmid, Imam Mujahidin (55991519600); Ali, M. Saleh S. (57214676018)","59151900500; 55991519600; 57214676018","Governing a Wildlife-Based Regional Economy: A Prospective Policy Analysis of Swiftlet’s Nest Trade in Indonesia Supporting SDGs 6 and 9","2026","Sustainability (Switzerland)","18","6","2997","","","0","10.3390/su18062997","https://www.scopus.com/pages/publications/105033872666?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105033872666"
"Ramdani F.T.; Roestamy M.; Rahmawati R.; Ilyanawati R.Y.A.; Sudarsa A.S.","Ramdani, Faisal Tri (58601805800); Roestamy, Martin (57208395049); Rahmawati, Rita (58787534300); Ilyanawati, R. Yuniar Anisa (59553512500); Sudarsa, Agus Suarman (57952800900)","58601805800; 57208395049; 58787534300; 59553512500; 57952800900","Techno-Economic Household-Scale Solar Power Plants in Support of The Policy of Presidential Regulation Number 112 of 2022 Concerning the Acceleration of Renewable Energy Development","2026","Indonesian Journal of Science and Technology","11","2","","205","216","2","10.17509/ijost.v11i2.89708","https://www.scopus.com/pages/publications/105015532657?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105015532657"
"Saldías C.; Echeverría I.; Vargas V.; Saavedra O.","Saldías, Cecilia (55347139700); Echeverría, Ivette (57214220231); Vargas, Valeria (60676734200); Saavedra, Oliver (60676298700)","55347139700; 57214220231; 60676734200; 60676298700","Flows against the current: governance and politics of wastewater reuse in Valle Alto, Bolivia","2026","International Journal of Water Resources Development","42","4","","497","518","0","10.1080/07900627.2026.2677000","https://www.scopus.com/pages/publications/105040961806?origin=resultslist","Article","Final","","Scopus","2-s2.0-105040961806"
"Sciurba L.; Settanni L.; Scalenghe R.","Sciurba, Lino (59425947200); Settanni, Luca (6507252349); Scalenghe, Riccardo (6505902111)","59425947200; 6507252349; 6505902111","Sampling techniques for extended soil microbiological studies: a review and a proposal for unified guidelines","2026","Applied Soil Ecology","221","","106928","","","4","10.1016/j.apsoil.2026.106928","https://www.scopus.com/pages/publications/105033002744?origin=resultslist","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105033002744"
"Pan W.; Zhang W.; Han D.","Pan, Wang (60574030500); Zhang, Wei (57221430118); Han, Dong (56424567700)","60574030500; 57221430118; 56424567700","Optimal Operation Strategy for Island Multi-Energy Microgrids Considering the Water-Energy Nexus of Wastewater Treatment and Desalination","2026","Sustainability (Switzerland)","18","7","3297","","","0","10.3390/su18073297","https://www.scopus.com/pages/publications/105035491324?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105035491324"
"Somvanshi J.; Patil-Nikam A.M.; Singh N.; Bhattacharjee M.; Kumar R.; Dutta N.; Dash S.S.","Somvanshi, Jaya (60716043700); Patil-Nikam, Anita M (60720922600); Singh, Namrata (60720922700); Bhattacharjee, Mamta (60720508000); Kumar, Ravi (60693599500); Dutta, Namah (60014262400); Dash, Sidhartha Sekhar (60571360900)","60716043700; 60720922600; 60720922700; 60720508000; 60693599500; 60014262400; 60571360900","Legal Frameworks for Equitable Water Governance: Strengthening Policy Mechanisms for Sustainable Water Access and Rights","2026","International Journal of Special Education","41","9S","","882","892","0","","https://www.scopus.com/pages/publications/105043578069?origin=resultslist","Article","Final","","Scopus","2-s2.0-105043578069"
"Mahmud M.; Potale A.F.H.; Husnan R.","Mahmud, Marike (57209496470); Potale, Alqi Fahriansa H. (60695628200); Husnan, Rawiyah (60695804700)","57209496470; 60695628200; 60695804700","Evaluation of the quality of Paguyaman river as a source of raw water and as a source of community drinking water from water supply company (PDAM) Wonosari Unit","2026","AIP Conference Proceedings","3319","1","030005","","","0","10.1063/5.0296110","https://www.scopus.com/pages/publications/105042104494?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105042104494"
"Rhazzali A.L.; Lakatos E.S.; Portik-Szabó R.; Hossu E.C.; Cioca L.-I.; Moldovan A.","Rhazzali, Andreea Loredana (60190314300); Lakatos, Elena Simina (55015972000); Portik-Szabó, Ráhel (60418402500); Hossu, Elena Cristina (60418073900); Cioca, Lucian-Ionel (15077890400); Moldovan, Alina (59492453800)","60190314300; 55015972000; 60418402500; 60418073900; 15077890400; 59492453800","Sustainable Membrane Technologies for Enhancing Urban Climate Resilience","2026","Membranes","16","2","70","","","1","10.3390/membranes16020070","https://www.scopus.com/pages/publications/105031215069?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031215069"
"Kimwaga R.; Magambo H.; Ndezi T.","Kimwaga, Richard (6507907462); Magambo, Hezron (57924426600); Ndezi, Tim (6505697833)","6507907462; 57924426600; 6505697833","Financial insecurity among sanitation workers and its impacts on safe service reliability: a case study of the Arusha depot manual emptying group","2026","Journal of Water Sanitation and Hygiene for Development","16","7","","628","646","0","10.2166/washdev.2026.007","https://www.scopus.com/pages/publications/105046847110?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105046847110"
"Nyokabi N.; Muunda E.; Moore H.; Korir L.; Ndambi A.; Omanga C.; Korir L.; Phelan L.","Nyokabi, Ndungu (58150080800); Muunda, Emmanuel (57203620741); Moore, Henrietta (7202287031); Korir, Luke (56663260800); Ndambi, Asaah (19640518900); Omanga, Charles (60357230700); Korir, Lilian (57218398323); Phelan, Lisette (57734660900)","58150080800; 57203620741; 7202287031; 56663260800; 19640518900; 60357230700; 57218398323; 57734660900","Adoption of food safety measures in smallholder dairy farms in Kenya: Implications for milk safety and public health","2026","One Health","22","","101342","","","0","10.1016/j.onehlt.2026.101342","https://www.scopus.com/pages/publications/105028899854?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105028899854"
"Carrard N.; Gonzalez D.; MacArthur J.; Anh Minh N.; Giang Nam N.D.; Rodgers D.; Foster T.","Carrard, Naomi (22833324000); Gonzalez, Diana (57455286300); MacArthur, Jess (57221446312); Anh Minh, Nguyen (59299958500); Giang Nam, Nguyen Dinh (58864888600); Rodgers, David (60682944600); Foster, Tim (58746420200)","22833324000; 57455286300; 57221446312; 59299958500; 58864888600; 60682944600; 58746420200","Groundwater-based water services as complex socio-hydrogeological systems: insights from Vietnam’s Mekong Delta; [作为复杂社会—水文地质系统的地下水型供水服务：来自越南湄公河三角洲的启示]; [Services d’eau fondés sur les eaux souterraines en tant que systèmes socio-hydrologiques complexes: enseignements tirés du delta du Mékong au Vietnam]; [Serviços de água baseados em águas subterrâneas como sistemas socio-hidrogeológicos complexos: Percepções do Delta do Mekong, no Vietnã]; [Servicios de agua basados en aguas subterráneas como sistemas socio-hidrogeológicos complejos: perspectivas del delta del Mekong en Vietnam]; [Các dịch vụ cấp nước dựa vào nước ngầm như những hệ thống địa chất thủy văn - xã hội phức tạp: Góc nhìn từ Đồng bằng sông Cửu Long, Việt Nam]","2026","Hydrogeology Journal","","","","","","0","10.1007/s10040-026-03100-8","https://www.scopus.com/pages/publications/105041652596?origin=resultslist","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105041652596"
"Williams H.; Upendram S.; Mingie J.; Cho S.-H.","Williams, Hannah (60413577000); Upendram, Sreedhar (57192084015); Mingie, James (56516913300); Cho, Seong-Hoon (22940061400)","60413577000; 57192084015; 56516913300; 22940061400","Assessing the Targeting Efficiency of Clean Water Subsidies Under Uncertainty","2026","Environmental Management","76","9","276","","","0","10.1007/s00267-026-02581-3","https://www.scopus.com/pages/publications/105047556857?origin=resultslist","Article","Final","","Scopus","2-s2.0-105047556857"
"Ranjan A.; Mallick S.; Mandal K.K.","Ranjan, Avinash (57216616976); Mallick, Sambit (35275937600); Mandal, Kajal Kumar (57216611645)","57216616976; 35275937600; 57216611645","Political Ecology and Social Production of Drinking Water Scarcity in India's Contaminated Landscapes","2026","Geographical Journal","192","2","e70087","","","0","10.1111/geoj.70087","https://www.scopus.com/pages/publications/105038927372?origin=resultslist","Article","Final","","Scopus","2-s2.0-105038927372"
"de Lima M.D.S.; Silva W.D.O.; Neto M.M.; Fontana M.E.; Silva A.E.A.","de Lima, Marcos dos Santos (60678692200); Silva, Wesley Douglas Oliveira (57218679106); Neto, Manoel Mariano (60677465300); Fontana, Marcele Elisa (37103724100); Silva, Andressa Ellen Apolinário (60677704700)","60678692200; 57218679106; 60677465300; 37103724100; 60677704700","Expert group decision-making on ESG strategies for water public sanitation utilities under fiscal and budgetary constraints in Brazil","2026","Utilities Policy","102","","102252","","","0","10.1016/j.jup.2026.102252","https://www.scopus.com/pages/publications/105040972926?origin=resultslist","Article","Final","","Scopus","2-s2.0-105040972926"
"Ma J.; Fu L.; Chen Y.; Zhu S.; Fan Y.; Wang W.","Ma, Junkai (60515251300); Fu, Liwei (60514051400); Chen, Yanan (60515251200); Zhu, Shaoqing (60567996400); Fan, Yaofang (57192265265); Wang, Wenshuo (57225120281)","60515251300; 60514051400; 60515251200; 60567996400; 57192265265; 57225120281","Surface engineering of stainless-steel mesh with superwettability toward efficient water treatment through electroflotation","2026","Journal of Materials Chemistry A","14","29","","18617","18626","0","10.1039/d6ta01017b","https://www.scopus.com/pages/publications/105035249312?origin=resultslist","Article","Final","","Scopus","2-s2.0-105035249312"
"Feldman D.","Feldman, David Lewis (7402702751)","7402702751","Achieving Transboundary Water Security Through Water Innovations: A Framework and Cases","2026","World Water Policy","12","1","e70044","","","0","10.1002/wwp2.70044","https://www.scopus.com/pages/publications/105025593292?origin=resultslist","Note","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105025593292"
"Tasnim F.; Oeishik M.Z.; Sarkar N.U.; Islam M.T.; Adib H.I.; Mamshad M.M.; Jahan H.","Tasnim, Faria (57210170366); Oeishik, Md Zarif (59341474700); Sarkar, Nijam Uddin (59449140200); Islam, Md Tahmidul (57215368653); Adib, Hossain Ishrath (57212565186); Mamshad, M.M. (60349795200); Jahan, Hasin (55538010900)","57210170366; 59341474700; 59449140200; 57215368653; 57212565186; 60349795200; 55538010900","Barriers to health care access for sanitation workers in five municipalities of Bangladesh: an evaluation of Shasthya Nirapotta Scheme using multinomial logistic regression approach","2026","International Journal for Equity in Health","25","1","23","","","0","10.1186/s12939-025-02739-1","https://www.scopus.com/pages/publications/105028483005?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105028483005"
"Dhar S.; Imran M.","Dhar, Sushmita (60525022900); Imran, Mohd (60526385500)","60525022900; 60526385500","Corporate Sustainability Metrics and Environmental Human Rights: Developing Rights-Based Indicators for Science-Based SDGs'Targets in India and China","2026","BIO Web of Conferences","225","","07004","","","0","10.1051/bioconf/202622507004","https://www.scopus.com/pages/publications/105033709243?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105033709243"
"Legass A.M.; Alamirew T.; Gebrehiwot S.G.; Haro-Monteagudo D.; Tsegaye L.; Begashaw G.B.","Legass, Abebe M. (59806927500); Alamirew, Tena (22033431800); Gebrehiwot, Solomon G. (36084330100); Haro-Monteagudo, David (55348817800); Tsegaye, Lewoye (57214315606); Begashaw, Getnet Bogale (57792219600)","59806927500; 22033431800; 36084330100; 55348817800; 57214315606; 57792219600","Assessing urban water security in Awash River Basin, Addis Ababa, and its surrounding towns using Integrated Urban Water S ecurity Index","2026","Discover Sustainability","7","1","354","","","0","10.1007/s43621-025-02575-x","https://www.scopus.com/pages/publications/105031933820?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031933820"
"Annan K.K.; Mariwah S.; Annan A.; Chirisa I.","Annan, Kingsford Kobina (60362146800); Mariwah, Simon (49663759800); Annan, Alice (60362342200); Chirisa, Innocent (55555185500)","60362146800; 49663759800; 60362342200; 55555185500","Management of water, sanitation and hygiene facilities in basic schools within the Mfantseman Municipality, Ghana","2026","Discover Sustainability","7","1","160","","","0","10.1007/s43621-025-02504-y","https://www.scopus.com/pages/publications/105028956745?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028956745"
"Selva C.; Butragueño M.N.; de Miquel C.","Selva, Clara (54880923800); Butragueño, Mónica Natalia (60365727600); de Miquel, Carlota (57217292502)","54880923800; 60365727600; 57217292502","Gender equity and menstrual justice: a psychosocial review on stigma and discrimination in access to reproductive health","2026","Reproductive health","23","1","","27","","2","10.1186/s12978-025-02255-z","https://www.scopus.com/pages/publications/105029053585?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105029053585"
"Ouargani Y.; Khattabi E.; Amine F.-E.M.","Ouargani, Younes (58621444300); Khattabi, El (60779745600); Amine, Fakhre-Eddine Mohamed (60779658000)","58621444300; 60779745600; 60779658000","Moroccan Dam level dataset: A high resolution satellite-based monitoring dataset for Moroccan Dams","2026","AIP Conference Proceedings","3495","1","030003","","","0","10.1063/12.0044636","https://www.scopus.com/pages/publications/105046770956?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105046770956"
"John C.K.; Pu J.H.","John, Chukwuemeka Kingsley (57224580175); Pu, Jaan H. (55184014600)","57224580175; 55184014600","Climate-Driven Water Scarcity and Its Public Health Implications: A Multi-Regional Assessment Across Vulnerable Socio-Ecological Systems","2026","Water (Switzerland)","18","6","699","","","5","10.3390/w18060699","https://www.scopus.com/pages/publications/105034273803?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105034273803"
