title,authors,year,doi,url,abstract,database,search_id
Sources of Bureaucratic Delay: A Case Study of FERC Dam Relicensing,"Kosnik, Lea-Rachel D.",2006,,http://www.jstor.org/stable/3555042,"[This paper investigates the sources for regulatory delay in bureaucratic decision making, testing regulatory capture, congressional dominance, and bureaucratic discretion theories of agency behavior. The empirical context concerns relicenses issued by the Federal Energy Regulatory Commission (FERC) for hydro-electric dams, which have taken anywhere from just ten months to over sixteen years to be issued. The reasons for this heterogeneity in regulatory processing times can be expected to be varied and numerous and indeed we find evidence that outside interest groups, the legislature, and bureaucratic discretion are all significant in affecting regulatory processing times. Our most intriguing results concern the effects of environmental interest groups, which, despite their apparent benefit/cost motivation to hasten the relicensing process (independent of relicensing outcomes), overall end up slowing it down.]",JSTOR,SEARCH_041
Health Care: An Overview of the Indian Health Service,"Boyum, William",1988,10.2307/20068290,http://www.jstor.org/stable/20068290,,JSTOR,SEARCH_041
Towards a Risk-Thematic Approach for African Climate Litigation,"Field, Tracy-Lynn",2024,10.2307/jj.9941112.8,http://www.jstor.org/stable/jj.9941112.8,"This chapter asserts a risk-thematic approach for African climate litigation. It engages with the methodological and conceptual approaches that could be used to identify climate change cases decided in African courts, and to develop a reflexive and critical scholarship on climate litigation for the African context.  There have been many attempts to define climate litigation and delineate litigation typologies.¹ However, from an African perspective, these attempts suffer from two glaring deficiencies. Firstly, they consistently position Africa on the margin of climate change litigation action, reflecting and reconstituting the continent’s peripheral framing. Secondly, the climate visibility approach² used in mainstream ‘global’",JSTOR,SEARCH_041
DEAD IN THE WATER? ADDRESSING THE FUTURE OF WATER CONSERVATION IN THE COLORADO RIVER BASIN,"Singh, Harmukh",2024,,https://www.jstor.org/stable/27303656,"[The Colorado River Basin is drying up, and with it, the water supply of seven states in the American West. Historically, the West relied on consumption-based laws to fuel development despite the arid landscape. The Colorado River Compact allocated water among the states, but those allocations suffered from two basic flaws: (1) The agreedupon water flow of the river was based on a particularly wet season in the region, and (2) the Compact was not designed to adapt to changing environmental circumstances. As climate change decreases rainfall and increases temperatures, water availability will sharply decline. But outdated legal doctrines incentivize farmers to use all their water or otherwise see their water allocations dwindle, increasing water waste. Furthermore, water rights and agriculture are mostly within the jurisdiction of states, which are often paralyzed to act due to either economic competition or a lack of resources. This Note argues that the federal government must step in to overcome the collective action problem and realign market incentives. It proposes a program focused on improving water efficiency, paying farmers not to plant harmful crops, and allowing farmers to exit the market entirely. Particularly, the Department of the Interior’s Bureau of Reclamation has rulemaking authority to implement necessary programs to counteract harmful incentives in the region. Other agencies, like the Department of Agriculture, can bolster this approach. Effectively, the end result would be a market that promotes conservation as an economically beneficial and rational decision for every farmer.]",JSTOR,SEARCH_041
FOREVER CHEMICALS AND LIVESTOCK,"Mitchell, Chance",2025,,https://www.jstor.org/stable/27365577,"[This article examines the limitations of existing federal authorities in addressing the growing threat of PFAS contamination in livestock production operations. While existing programs at the U.S. Department of Agriculture (USDA), such as the Livestock Indemnity Program, provide critical support for producers facing natural disasters, they do not cover losses related to toxic substances like PFAS. The only USDA program offering PFAS-related indemnity is the Dairy Indemnity Payment Program (DIPP), but its narrow scope limits coverage to dairy farms. Efforts to amend the statutory language of existing programs or create new ones face significant hurdles, including Congress’s rigid approach to modernizing farm assistance programs and opposition from PFAS-producing industries. This article assesses the budgetary considerations associated with expanding existing programs or creating a new PFAS indemnity program, highlighting the fiscal challenges of such an initiative. While a comprehensive PFAS indemnity program could be vital in protecting a broader range of livestock producers against future PFAS contamination, I argue that the USDA is not empowered to do so under existing authorities and that new legislative authorization is likely necessary. This analysis concludes by stressing the need for continued monitoring and proactive regulatory action to mitigate the risks of PFAS contamination in agriculture.]",JSTOR,SEARCH_041
Fostering Private-Sector Development: Outsourcing and Privatization of Government Functions,"Hansen, Michael L.; Shatz, Howard J.; Constant, Louay; Smith, Alexandria C.; Kumar, Krishna B.; Krull, Heather; Usanov, Artur; Dogo, Harun; Martini, Jeffrey",2014,,http://www.jstor.org/stable/10.7249/j.ctt6wq8hc.13,"As we discussed in the previous chapter, one method to improve private-sector employment is to identify sectors for which conditions are particularly favorable for private-sector growth and to provide a fertile environment in which new businesses can form and foreign businesses can expand into the region. Another method for achieving private-sector growth is to outsource or privatize some functions that the government currently performs. While some functions are inherently governmental, the private sector can perform others without compromising the ability of the KRG to serve its citizens. Furthermore, experience in other countries suggests that the private sector can often perform",JSTOR,SEARCH_041
VALUING SACRED TRIBAL WATERS WITHIN PRIOR APPROPRIATION,"Bryan, Michelle",2017,,http://www.jstor.org/stable/26202190,"[ABSTRACT Throughout the world water plays a central role in the spirituality of indigenous peoples. Focusing on the American West, this article first describes how tribal water needs touch upon the sacred and then explains how both federal law and state prior appropriation doctrine fail to adequately protect these important sacred views of water. Pivoting away from the classic federal law arguments, the article then advocates for an evolution in state water law regimes to provide yet unrecognized protections for tribal sacred waters. Because international law plays an increasing role in this issue, the article also explores case studies from Ireland, Kenya, and New Zealand, where sacred waters are being protected from development. Using these international models for inspiration, the article then focuses on specific first steps where prior appropriation law can begin its evolution.]",JSTOR,SEARCH_041
Improving Tribal Collaboration in California’s Integrated Regional Water Management Program,"DOLAN, DANIELLE V.; MIDDLETON, BETH ROSE",2015,,http://www.jstor.org/stable/24889766,"[ABSTRACT Our research examines Integrated Regional Water Management (IRWM) policy-in-practice, which often reflects broader State exclusion of Tribal partners in natural resource policy, yet also provides potential opportunities for government-to-government collaboration and co-management. IRWM is the state of California’s chosen mechanism for collaborative water management. Our findings confirm that if Tribes and state or local jurisdictions were already working well together, the IRWM program has been beneficial to Tribal interests. In the Tuolumne-Stanislaus IRWM region, for example, the Regional Water Management Group (RWMG) facilitated a first of its kind voluntary water transfer between a Tribe and a local water agency. Conversely, in situations in which local governments and Tribal governments were adversarial, IRWM presents an additional barrier to Tribal participation in water policy and planning, despite Tribes’ Winters-affirmed federal reserved water rights. In all instances, we found it would significantly improve IRWM statewide to require RWMGs to: (a) engage in statutorily defined government-to-government consultation with Tribes and (b) provide seats for Tribal representation on RWMG governance bodies. By revising the IRWM program guidelines, the state of California can continue to address deeply institutionalized inequities within state water policy and management structures. Following the release of our recommendations, California Department of Water Resources (DWR) began holding workshops to examine revising the IRWM program guidelines. If DWR implements the findings from our study and requires Tribal participation in the governance of RWMGs, this could set a productive example for other states, as well as result in significant benefits in California water management.]",JSTOR,SEARCH_041
The Law and the Public's Health: A Study of Infectious Disease Law in the United States,"Gostin, Lawrence O.; Burris, Scott; Lazzarini, Zita",1999,10.2307/1123597,http://www.jstor.org/stable/1123597,"Law plays crucial roles in the field of public health, from defining the power and jurisdiction of health agencies, to influencing the social norms that shape individual behavior. Despite its importance, public health law has been neglected. Over a decade ago, the Institute of Medicine issued a report lamenting the state of public health adminstration, generally, and calling, in particular, for a revision of public health statutes. The Article examines the current state of public health law. To help create the conditions in which people can be healthy, public health law must reflect an understanding of how public health agencies work to promote health, as well as the political and social contexts in which these agencies operate. The authors first discuss three prevailing ways in which the determinants of health are conceptualized, and the political and social problems each model tends to create for public health efforts. The analysis then turns to the core functions of public health, emphasizing how law furthers public health work. The Article reports the results of a fifty-state survey of communicable disease control law, revealing that few states have systematically reformed their laws to reflect contemporary medical and legal developments. The Article concludes with specific guidelines for law reform.",JSTOR,SEARCH_041
THREE MODELS OF HEALTH INSURANCE: THE CONCEPTUAL PLURALISM OF THE PATIENT PROTECTION AND AFFORDABLE CARE ACT,"Hoffman, Allison K.",2011,,http://www.jstor.org/stable/41307990,"[What risks should health insurance mitigate? American health scholars, politicians, and the public at large answer this question ambivalently. This Article defines three dominant conceptions of health insurance that weave throughout popular and academic discourse and that echoed in the 2010 health reform debates. The first conception is that health insurance should primarily serve to mitigate harms to health. This ""Health Promotion"" theory relies on using health insurance to pay for medical care that most cost-effectively preserves and improves health. Alternately, health insurance might primarily mitigate risks to wealth from high medical care costs. This ""Financial Security ""theory demands that health insurance limit financial insecurity from these costs. Finally, the ""Brute Luck"" theory, highly sensitive to the possibility of adverse-incentive effects arising from moral hazard, demands that health insurance protect primarily against unavoidable or ""chance"" health risks that do not arise from individual behavior. This last theory thus seeks to preserve incentives for insureds to prevent risk themselves, while insurance neutralizes harms from random poor health. Each theory implies distinct principles to guide premium pricing and allocation of premium dollars toward medical care. The new health reform law, the Patient Protection and Affordable Care Act of 2010 (PPACA), manifests this ""conceptual pluralism. ""It evokes all three of these notions of the types ofnsks Americans should share — now more collectively post-reform — through insurance. While the goals of these three théories dovetail at times (e.g., promoting health will in some cases also reduce medical care costs), at other times they are at odds. Conceptual pluralism thus complicates implementation of PPACA as regulators must manage tensions and make tradeoffs among these goals. The framework offered in this Article is important for two reasons. First, creating a roadmap to understand the different conceptions of insurance, and the values that inform them, brings awareness to the root cause of tensions that will arise as PPACA is implemented. Second, this framework elucidates the different ends that health insurance could serve and thus enables clearer future reflection and debate on what ends it should serve and to what degree.]",JSTOR,SEARCH_041
Is There a Doctor in the Joint? The Search for Constitutional Standards for Prison Health Care,"Neisser, Eric",1977,10.2307/1072523,http://www.jstor.org/stable/1072523,,JSTOR,SEARCH_041
Before OSHA,"Noble, Charles",1986,10.2307/j.ctvn5tvk1.7,http://www.jstor.org/stable/j.ctvn5tvk1.7,"In the years before 1970, American occupational safety and health policy strongly emphasized voluntary action by firms and employees. Despite a wide variety of state and federal programs, risk and protection were, for the most part, allocated privately Employers were free to organize the labor process as they saw fit; while workers sought protection from occupational hazards by changing jobs or, if unionized, pressuring employers through collective bargaining and wildcat strikes. There were no worker rights to facilitate participation, or in-plant institutions to assure that participation was effective.  What state action occurred was resolutely liberal and rested on the two",JSTOR,SEARCH_041
THE PERMIT POWER REVISITED: THE THEORY AND PRACTICE OF REGULATORY PERMITS IN THE ADMINISTRATIVE STATE,"Biber, Eric; Ruhl, J.B.",2014,,http://www.jstor.org/stable/24691712,"Two decades ago, Professor Richard Epstein fired a shot at the administrative state that has gone largely unanswered in legal scholarship. His target was the ""permit power,"" under which legislatures prohibit a specified activity by statute and delegate to administrative agencies the discretionary power to authorize the activity under terms the agency mandates in a regulatory permit. Accurately describing the permit power as an ""enormous power in the state,"" Epstein bemoaned that it had ""received scant attention in the academic literature."" He sought to fill that gap. Centered on the premise that the permit power represents ""a complete inversion of the proper distribution of power within a legal system,"" Epstein launched a scathing critique of regulatory permitting in operation, condemning it as a ""racket"" for administrative abuses and excesses. Epstein's assessment of the permit power was and remains accurate in three respects: it is vast in scope, it is ripe for administrative abuse, and it has been largely ignored in legal scholarship. The problem is that, beyond what he got right about the permit power, most of Epstein's critique was based on an incomplete caricature of permitting in theory and practice. This Article is the first to return comprehensively to the permit power since Epstein's critique, offering a deep account of the theory and practice of regulatory permits in the administrative state. This Article opens by defining the various types of regulatory permits and describing the scope of permitting in the regulatory state. From there it compares different permit design approaches and explores the advantages of general permits, including their ability to mitigate many of the concerns Epstein advanced. This Article then applies a theoretical model to environmental degradation problems and concludes that if certain conditions are met, general permits can effectively respond to many of the complex policy problems of the future. Finally, this Article adds to the scholarship initiated by Epstein by proposing a set of default rules and exceptions for permit design and suggesting how they apply to complex policy problems.",JSTOR,SEARCH_041
Bringing Australia and the EU Closer: Is an FTA a Solution?,"Gretton, Paul",2017,,http://www.jstor.org/stable/j.ctt1sq5ttx.15,"At a time when the prospects for finalising the Doha Round of trade negotiations is bleak, it is timely to consider what kind of trade policy agenda governments should be pursuing. One possible approach is the continuation of strategies based on the negotiation of preferences through bilateral and regional deals. Another approach would be to refocus attention on trade liberalisation based on the most favoured nation (MFN) and national treatment principles of the international trading system, supported by domestic reform. Such an approach would be directed at enabling economies to adapt to the increasingly integrated global trading environment and to",JSTOR,SEARCH_041
IMPROVING NATIVE AMERICAN ACCESS TO FEDERAL FUNDING FOR ECONOMIC DEVELOPMENT THROUGH PARTNERSHIPS WITH RURAL COMMUNITIES,"Wagner, Joanna M.",2007,,http://www.jstor.org/stable/20700721,,JSTOR,SEARCH_041
The Urban Environmental Renaissance,"Wyman, Katrina M.; Spiegel-Feld, Danielle",2020,,https://www.jstor.org/stable/26977912,"[City governments were an important source of environmental protection in the United States from the 1800s until well into the 1900s. However, since Congress passed a series of landmark environmental statutes in the 1970s, scholars have primarily equated environmental law with federal law. To the extent that scholars consider subnational sources of environmental law, they typically focus on states, rather than cities. This article shines a light on the role of cities in contemporary environmental law. It argues that major U.S. cities are currently reviving cities’ historical role as leaders in environmental lawmaking and proposes mechanisms for expanding their scope to innovate within the framework that the 1970s federal environmental statutes established. The article makes three significant contributions to existing literature. First, it resurrects the little-known history of early municipal efforts to protect their environments, which illustrates cities’ long-standing interest in environmental matters. Second, the article incorporates an original survey of environmental policies that cities have developed in recent years, which demonstrates the breadth of largely overlooked lawmaking. Third, the article offers a framework for conceptualizing the interplay between federal, state, and local laws and suggests strategies for finding greater space for municipal policy experimentation within cities’ jurisdictional authority.]",JSTOR,SEARCH_041
Rethinking Fiscal Federalism,"Super, David A.",2005,,http://www.jstor.org/stable/4093426,"[Although interactions between federal and state taxes and spending programs are becoming increasingly controversial, this Article asserts that major theories of federalism built to divide regulatory authority between the two levels of government poorly account for the quite different problems of fiscal cooperation and competition. The Article therefore identifies and distinguishes three justifications for federal funding of states' operations: In some programs, funding seeks to insulate states from particular fiscal burdens, such as the side effects of federal policies or the abrupt termination of federal responsibility for particular problems. In other programs, funding provides an incentive for states to follow federal policy leadership. And in still others, the federal government assumes financial responsibility because of its superior fiscal capacity. The Article finds recent congressional action on unfunded mandates and the Court's new federalism jurisprudence lacking coherent justification under these three models. The Article then turns to programs that aid low-income people, which present excellent examples of spending programs that suffer from design defects because of the current lack of a coherent theory of fiscal federalism. For example, the Article finds states' fiscal constitutions mired in pre-Keynesian economics. As a result, states consistently undercut federal macroeconomic policy, stimulating the economy during expansions and deflating it further during downturns. In addition, the Article identifies powerful but poorly understood features of state fiscal constitutions that systematically privilege low-income people. Accordingly, this Article criticizes recent moves to devolve fiscal responsibility for precisely the kinds of functions that states are least able to perform. The Article urges states to update their fiscal constitutions to eliminate chaotic responses to swings of the business cycle and to equip themselves to perform the tasks being assigned to them. It also recommends that the federal government adjust its fiscal relationship with states to account for these limitations.]",JSTOR,SEARCH_041
"""With a Very Great Blame on Our Hearts"": Reparations, Reconciliation, and an American Indian Plea for Peace with Justice","Bradford, William",2002,10.2307/20070688,http://www.jstor.org/stable/20070688,,JSTOR,SEARCH_041
Universal International Judicial and Quasi-Judicial Bodies,"Zengerling, Cathrin",2013,,http://www.jstor.org/stable/10.1163/j.ctv29sftzr.11,"This chapter explores three universal judicial institutions (I), three fora for arbitration (II), one non-compliance procedure (III), and finally the question whether a new International Court for the Environment is needed (IV). The analysis follows the same structure as applied in chapter 3 and thus, jurisdiction, institutional arrangements, access to the court, and its environmental case law are examined and evaluated. The overall research question is, as above, whether universal international judicial and quasi-judicial bodies appropriately contribute to the realization of democratic global governance for sustainable development. With respect to each body, strengths and weaknesses in fulfilling this task are",JSTOR,SEARCH_041
Government Information and the Rights of Citizens,,1975,10.2307/1287727,http://www.jstor.org/stable/1287727,,JSTOR,SEARCH_041
Administrative Searches and the Fourth Amendment: The Camara and See Cases,"LaFave, Wayne R.",1967,,http://www.jstor.org/stable/3108748,,JSTOR,SEARCH_041
The Creation of the Department of Justice: Professionalization Without Civil Rights or Civil Service,"Shugerman, Jed Handelsman",2014,,http://www.jstor.org/stable/24246730,"[This Article offers a new interpretation of the founding of the Department of Justice (DOJ) in 1870 as an effort to shrink and professionalize the federal government. The traditional view is that Congress created the DOJ to increase the federal government's capacity to litigate a growing docket due to the Civil War. More recent scholarship contends that Congress created the DOJ to enforce Reconstruction and ex-slaves' civil rights. However, it has been overlooked that the DOJ Act eliminated about one-third offederal legal staff. The founding of the DOJ had less to do with Reconstruction, and more to do with ""retrenchment"" (budget cutting and anti-patronage reform). The DOJ's creation was linked with major professionalization efforts, such as the founding of modern bar associations, to make the practice of law more exclusive and more independent from partisan politics. In this new interpretation, the DOJ's creation runs in the opposite direction from one historical trend, the growth of the federal government's size. Instead, it was at the very leading edge of two other major trends: the professionalization of American lawyers and the rise of bureaucratic autonomy and expertise. This story helps explain a historical paradox: how the uniquely American system of formal presidential control over prosecution evolved alongside the norms and structures of professional independence.]",JSTOR,SEARCH_041
"IMPACT OF THE CORONAVIRUS AND FEDERAL RESPONSES ON INDIGENOUS PEOPLES’ HEALTH, SECURITY, AND SOVEREIGNTY","Smith, Libby",2020,,https://www.jstor.org/stable/27074687,,JSTOR,SEARCH_041
Public and Semi-Public Corporations in France,"Dallmayr, Winfried R.",1961,10.2307/1190621,http://www.jstor.org/stable/1190621,,JSTOR,SEARCH_041
"Learning How to Heal: An Analysis of the History, Policy, and Framework of Indian Health Care","Pfefferbaum, Betty; Strickland, Rennard; Rhoades, Everett R.; Pfefferbaum, Rose L.",1995,10.2307/20068801,http://www.jstor.org/stable/20068801,,JSTOR,SEARCH_041
The Central Valley Project: Resource Development of a Natural Basin,"Graham, Leland O.",1950,10.2307/3477995,http://www.jstor.org/stable/3477995,,JSTOR,SEARCH_041
NEW MEXICO’S GREENBELT LAW,"Porter, Annalise; Berrens, Robert P.; Fleck, John",2023,,https://www.jstor.org/stable/27427819,"[New Mexico passed a Greenbelt law (N.M. Stat. § 7-36-20) in 1967 offering tax subsidies to agricultural landowners. The law represents a disconnect between land and water policy in that it has serious water policy implications but has never been discussed accordingly. We estimate that in 2020, Rio Grande surface flows were used to irrigate 4,388 acres of land in Bernalillo County, the state’s largest urban area, that received the agricultural valuation. This represents an estimated water use of nearly 11,000 acre-feet, on many properties not utilizing the program as originally intended, in a region where agriculture is largely non-commercial. This is equivalent to nearly a quarter of the county’s entire 2020 municipal water use, enough for approximately 40,000 homes. The Greenbelt law lacks cooperative oversight, and no system exists to track its water usage. The law is not accomplishing what it was originally enacted to accomplish, and multiple attempts to update it have been unsuccessful. Re-thinking institutional arrangements is critical to improving water resilience in an era of increasing aridification and unreliable water supplies.]",JSTOR,SEARCH_041
Water Transfers for a Changing Climate,"SQUILLACE, MARK",2013,,http://www.jstor.org/stable/24889721,"[The prior appropriation doctrine that dominates the water laws of the Western United States was perhaps the inevitable consequence of the need to manage water resources in a region where the demand for water often exceeds the supply. This doctrine has proved surprisingly clumsy at accommodating changing water needs during times of shortage. Economists have long viewed water markets as an attractive solution for reallocating water to meet the demands of an evolving community of water users. But most western states have been skeptical—sometimes even hostile—to proposed changes in historic water use patterns. This reluctance to encourage the transfer of existing water rights to serve critical new water needs too often leads to the development of new and expensive water projects with serious adverse environmental consequences. Still, many water transfers have gone forward and many involve moving water from agricultural to urban use. This is not surprising since most of the water used in the West goes to irrigated agriculture and most of the new demand is coming from the West's burgeoning urban centers. But for a variety of reasons, transfer activity has proved inadequate to accommodate these growing needs. Climate change now threatens to exacerbate this problem, by diminishing water supplies in some of the most arid regions of the West. New ways of thinking about reallocating water could go a long way to solving this problem. This article offers concrete recommendations for promoting robust water markets that can address water shortages that are otherwise likely to confront the West. The article concludes with a series of practical and creative ways for reforming western water law to help ensure that water gets to where it is needed most efficiently.]",JSTOR,SEARCH_041
"Public Utility Ownership in 19th-century America: The ""Aberrant"" Case of Water","Masten, Scott E.",2011,,http://www.jstor.org/stable/41261735,"[Unlike other public utilities, most water in the United States is supplied by publicly owned and operated waterworks. The predominance of the public sector in the supply of water was not always the case, however; private firms dominated US water supply throughout most of the 19th century. This article analyzes the puzzle of why water and sanitation systems were the only major utilities to become predominantly public by, first, reexamining historical accounts of the problems of contracting for water services in light of modern theories of economic organization and, then, evaluating hypotheses derived from those accounts using data on 373 waterworks serving US municipalities with populations over 10,000 in 1890. Among other results, municipal ownership is found to be related to the distribution of population and commerce within a city in ways that suggest that frictions between cities and private companies over system extensions and improvements played a significant role in the shift to municipal ownership.]",JSTOR,SEARCH_041
Recent California Water Transfers: Implications For Water Management,"ISRAEL, MORRIS; LUND, JAY R.",1995,,http://www.jstor.org/stable/24885632,"[The 1991 and 1992 California Drought Emergency Water Banks were the first large water transfer programs in the nation in which the state served as the predominant broker for water trades. Although the state-sponsored Water Banks have drawn widespread attention, there have been a great number of water transfers and exchanges taking place in California independently of the state. These transfers illustrate well the widespread applicability of transfers in managing water resource systems, as well as the multiple mechanisms available for effecting water transfers. This article focuses on California's recent experiences with water transfers, and offers a series of potential lessons for federal, state, and local managers for integrating water transfers in regional water resource systems.]",JSTOR,SEARCH_041
"Informality, Illegality, and Inequality","Larson, Jane E.",2002,,http://www.jstor.org/stable/41308519,,JSTOR,SEARCH_041
The Scope of Compulsory Contracts Proper,"Lenhoff, Arthur",1943,10.2307/1117228,http://www.jstor.org/stable/1117228,,JSTOR,SEARCH_041
Australia,"Boniwell, M. C.; Ferguson, J. W.; Broadbent, J. E.; Bean, E. L.; Osborne, R. G.; Woinarski, S. H. Z.; Cook, E.",1948,,http://www.jstor.org/stable/754886,,JSTOR,SEARCH_041
Free-World Law Behind Bars,"LITTMAN, AARON",2022,,http://www.jstor.org/stable/45434498,"[What law governs American prisons and jails, and what does it matter? This Article offers new answers to both questions. To many scholars and advocates, ""prison law"" means the constitutional limits that the Eighth Amendment and Due Process Clauses impose on permissible punishment. Yet, as I show, ""freeworld"" regulatory law also shapes incarceration, determining the safety of the food imprisoned people eat, the credentials of their health-care providers, the costs of communicating with their family members, and whether they are exposed to wildfire smoke or rising floodwaters. Unfortunately, regulatory law's protections often recede at the prison gate. Sanitation inspectors visit correctional kitchens, find coolers smeared with blood and sinks without soap — and give passing grades. Medical licensure boards permit suspended doctors to practice — but only on incarcerated people. Constitutional law does not fill the gap, treating standards like a threshold for toxic particulates or the requirements of a fire code more as a safe harbor than a floor. But were it robustly applied, I argue, free-world regulatory law would have a lot to offer those challenging carceral conditions that constitutional prison law lacks. Whether you think that criminal-justice policy's problem is its lack of empirical grounding or you want to shift power and resources from systems of punishment to systems of care, I contend that you should take a close look at free-world regulatory law behind bars, and work to strengthen it.]",JSTOR,SEARCH_041
